title,type,netflix_original
Love Like a K-Drama,TV Show,True
Last One Standing,TV Show,True
10 Minute Workouts,TV Show,True
20 Minute Workouts,TV Show,True
30 Minute Workouts,TV Show,True
Bodyweight Burn,TV Show,True
High Intensity Training,TV Show,True
Abs & Core,TV Show,True
Fire & Flow,TV Show,True
Fitness for Runners,TV Show,True
Ignite & Inspire with Kirsty Godso,TV Show,True
Kick Off with Betina Gozo,TV Show,True
Lower-Body Workouts,TV Show,True
Upper-Body Workouts,TV Show,True
Yoga,TV Show,True
Yoga with Xochilt,TV Show,True
Ariyoshi Assists,TV Show,True
Risqué Business: Japan,TV Show,True
Soccer-Inspired Workouts for All,TV Show,True
Lighthouse,TV Show,True
Risqué Business: Taiwan,TV Show,True
Baby Gorilla Cam,TV Show,True
Baby Animal Cam,TV Show,True
Black Mirror,TV Show,True
Inside the World's Toughest Prisons,TV Show,True
You,TV Show,True
Cobra Kai,TV Show,True
The Mire,TV Show,True
Kota Factory,TV Show,True
CoComelon,TV Show,True
The Mole,TV Show,True
Arcane,TV Show,True
The Nutty Boy,TV Show,True
Ninjago: Dragons Rising,TV Show,True
"Wake Up, Carlo!",TV Show,True
Single's Inferno,TV Show,True
The Parisian Agency: Exclusive Properties,TV Show,True
Surviving Summer,TV Show,True
From Me to You: Kimi ni Todoke,TV Show,True
Rough Diamonds,TV Show,True
Dance Brothers,TV Show,True
Tour de France: Unchained,TV Show,True
Let's Get Divorced,TV Show,True
Five Star Chef,TV Show,True
Predators,TV Show,True
I Woke Up a Vampire,TV Show,True
Skam Italia,TV Show,True
Ripley,TV Show,True
Dead Boy Detectives,TV Show,True
Monsters: The Lyle and Erik Menendez Story,TV Show,True
The 39 Steps,TV Show,True
The Abandons,TV Show,True
American Primeval,TV Show,True
Baahubali: Before the Beginning,TV Show,True
Baby Reindeer,TV Show,True
Black Doves,TV Show,True
The Boroughs,TV Show,True
Boy Swallows Universe,TV Show,True
Department Q,TV Show,True
The Decameron,TV Show,True
Desert King,TV Show,True
Eric,TV Show,True
Firekeeper's Daughter,TV Show,True
Forever,TV Show,True
Geek Girl,TV Show,True
The Madness,TV Show,True
A Man in Full,TV Show,True
Man on Fire,TV Show,True
The Moon Represents My Heart,TV Show,True
One Day,TV Show,True
The Perfect Couple,TV Show,True
The Residence,TV Show,True
Supacell[216],TV Show,True
The Survivors,TV Show,True
Tall Pines,TV Show,True
They Both Die at the End,TV Show,True
Toxic Town,TV Show,True
Monster,TV Show,True
Zero Day,TV Show,True
The Vince Staples Show,TV Show,True
The Corps,TV Show,True
The Gentlemen,TV Show,True
Kaos,TV Show,True
No Good Deed,TV Show,True
On Record,TV Show,True
